2018-08-16 12:49:57,tvw825385571,漳州,4,挺好看的😊哈哈
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:49:32,j1219028717,乐平,5,还挺好看的，不过没想象中那么搞笑
2018-08-16 12:49:21,小松,北京,1,对付看了一小时
2018-08-16 12:49:18,啦啦就是拉拉,广州,4,一般般吧  没什么出彩的地方
2018-08-16 12:49:14,唐鑫,乌鲁木齐,4,果然黄渤还是有实力
2018-08-16 12:49:10,PDi919128967,青岛,4.5,不错，细思极恐！
2018-08-16 12:49:02,Ttg2242203791,襄阳,3.5,新导演的诚意我看到了，想说的太多，表达手法欠缺深意，进步空间很大。
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:49:21,小松,北京,1,对付看了一小时
2018-08-16 12:49:18,啦啦就是拉拉,广州,4,一般般吧  没什么出彩的地方
2018-08-16 12:49:14,唐鑫,乌鲁木齐,4,果然黄渤还是有实力
2018-08-16 12:49:10,PDi919128967,青岛,4.5,不错，细思极恐！
2018-08-16 12:49:02,Ttg2242203791,襄阳,3.5,新导演的诚意我看到了，想说的太多，表达手法欠缺深意，进步空间很大。
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:49:18,啦啦就是拉拉,广州,4,一般般吧  没什么出彩的地方
2018-08-16 12:49:14,唐鑫,乌鲁木齐,4,果然黄渤还是有实力
2018-08-16 12:49:10,PDi919128967,青岛,4.5,不错，细思极恐！
2018-08-16 12:49:02,Ttg2242203791,襄阳,3.5,新导演的诚意我看到了，想说的太多，表达手法欠缺深意，进步空间很大。
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:49:14,唐鑫,乌鲁木齐,4,果然黄渤还是有实力
2018-08-16 12:49:10,PDi919128967,青岛,4.5,不错，细思极恐！
2018-08-16 12:49:02,Ttg2242203791,襄阳,3.5,新导演的诚意我看到了，想说的太多，表达手法欠缺深意，进步空间很大。
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:49:10,PDi919128967,青岛,4.5,不错，细思极恐！
2018-08-16 12:49:02,Ttg2242203791,襄阳,3.5,新导演的诚意我看到了，想说的太多，表达手法欠缺深意，进步空间很大。
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:49:02,Ttg2242203791,襄阳,3.5,新导演的诚意我看到了，想说的太多，表达手法欠缺深意，进步空间很大。
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:44:29,ZvG741024756,惠州,5,黄渤出品，不用多说！
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:44:29,ZvG741024756,惠州,5,黄渤出品，不用多说！
2018-08-16 12:44:22,xRR498481937,泗洪,3,八路太普通慢性胰腺炎
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:44:29,ZvG741024756,惠州,5,黄渤出品，不用多说！
2018-08-16 12:44:22,xRR498481937,泗洪,3,八路太普通慢性胰腺炎
2018-08-16 12:43:58,john好饿啊,中山,4,不错，值得一看。
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:44:29,ZvG741024756,惠州,5,黄渤出品，不用多说！
2018-08-16 12:44:22,xRR498481937,泗洪,3,八路太普通慢性胰腺炎
2018-08-16 12:43:58,john好饿啊,中山,4,不错，值得一看。
2018-08-16 12:43:54,vMw957353019,开封,4,还好吧，没有想象中的搞笑
2018-08-16 12:45:37,inO708584478,成都,5,小兴的演技超棒
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:44:29,ZvG741024756,惠州,5,黄渤出品，不用多说！
2018-08-16 12:44:22,xRR498481937,泗洪,3,八路太普通慢性胰腺炎
2018-08-16 12:43:58,john好饿啊,中山,4,不错，值得一看。
2018-08-16 12:43:54,vMw957353019,开封,4,还好吧，没有想象中的搞笑
2018-08-16 12:43:14,djR393412729,诸城,3.5,一般，总体来说
2018-08-16 12:45:31,厉害了少爷,北京,3,一般 没有期待的好
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:44:29,ZvG741024756,惠州,5,黄渤出品，不用多说！
2018-08-16 12:44:22,xRR498481937,泗洪,3,八路太普通慢性胰腺炎
2018-08-16 12:43:58,john好饿啊,中山,4,不错，值得一看。
2018-08-16 12:43:54,vMw957353019,开封,4,还好吧，没有想象中的搞笑
2018-08-16 12:43:14,djR393412729,诸城,3.5,一般，总体来说
2018-08-16 12:42:56,SeM645838411,汕头,5,很好，不错，挺好看，真的。
2018-08-16 12:45:13,岚岚288,遵义,5,一般还可以！！
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:44:29,ZvG741024756,惠州,5,黄渤出品，不用多说！
2018-08-16 12:44:22,xRR498481937,泗洪,3,八路太普通慢性胰腺炎
2018-08-16 12:43:58,john好饿啊,中山,4,不错，值得一看。
2018-08-16 12:43:54,vMw957353019,开封,4,还好吧，没有想象中的搞笑
2018-08-16 12:43:14,djR393412729,诸城,3.5,一般，总体来说
2018-08-16 12:42:56,SeM645838411,汕头,5,很好，不错，挺好看，真的。
2018-08-16 12:42:53,Dzd317217723,广元,4,觉得没有那么简单，有二刷的冲动
2018-08-16 12:45:13,食堂界一霸,深圳,5,人生的第一次 给予支持
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
2018-08-16 12:44:38,昔兮710,西安,4.5,喜欢黄渤，这电影感觉也不错，但不知为何，看着看着居然有些小无聊的赶脚，但总体还是很喜欢的
2018-08-16 12:44:34,yaojiangyan1214,乌鲁木齐,5,好看，有新意
2018-08-16 12:44:32,ODA148032375,深圳,2.5,娱乐电影  一般  感觉电影票贵了  46元  不值
2018-08-16 12:44:29,ZvG741024756,惠州,5,黄渤出品，不用多说！
2018-08-16 12:44:22,xRR498481937,泗洪,3,八路太普通慢性胰腺炎
2018-08-16 12:43:58,john好饿啊,中山,4,不错，值得一看。
2018-08-16 12:43:54,vMw957353019,开封,4,还好吧，没有想象中的搞笑
2018-08-16 12:43:14,djR393412729,诸城,3.5,一般，总体来说
2018-08-16 12:42:56,SeM645838411,汕头,5,很好，不错，挺好看，真的。
2018-08-16 12:42:53,Dzd317217723,广元,4,觉得没有那么简单，有二刷的冲动
2018-08-16 12:42:34,Z琪琪丶,绵阳,4,一般吧，一般吧
2018-08-16 12:45:11,神话,大连,5,一部电影，把想表达的表达了就可以了，细节处理稍微有那么一点儿不深入，但是元素太多了，编剧也是没什么才华。但是只要是黄渤拍的，果断十分，就爱看他，怎么办
2018-08-16 12:44:55,Echo9792,西安,5,舒淇真女神，很深邃的一部片子，能看出人性，最后张艺兴黑化让人很惊喜，演技炸裂。
2018-08-16 12:44:51,依赖这感觉,威海,4,一般吧，不是太喜欢
